player,played_at,fixture,position,role,result,final_you,final_formula,final_diff,attacking_you,attacking_formula,attacking_diff,defending_you,defending_formula,defending_diff,passing_you,passing_formula,passing_diff,consistency_you,consistency_formula,consistency_diff,gk_gc_you,gk_gc_formula,gk_gc_diff,gk_saves_you,gk_saves_formula,gk_saves_diff,gk_catches_you,gk_catches_formula,gk_catches_diff
"Sansiz35","2026-06-28","RB Warszawa 5-2 Hamburger SC","LB","DEF","L",59.00,69.00,10.00,0.00,0.00,0.00,67.00,95.80,28.80,59.00,23.83,-35.17,70.00,36.76,-33.24,,,,,,,,,
"Oh","2026-02-19","Sakaryaspor 1-5 Jovel Union","LW","FWD","L",41.00,19.00,-22.00,27.00,2.50,-24.50,69.00,76.96,7.96,67.00,43.44,-23.56,60.00,31.11,-28.89,,,,,,,,,
"Julian","2026-07-17","Sevilla FC 1-4 Juventus FC","LW","FWD","L",58.00,34.00,-24.00,54.00,19.33,-34.67,67.00,84.25,17.25,61.00,61.34,0.34,66.00,33.89,-32.11,,,,,,,,,
"mater","2026-02-02","Sakaryaspor 5-3 Wembley Guardians","LB","DEF","L",75.00,76.00,1.00,0.00,0.00,0.00,85.00,90.45,5.45,80.00,74.89,-5.11,86.00,64.71,-21.29,,,,,,,,,
"mainoo","2026-07-25","Artemis FC 2-7 Leeds United FC","LW","FWD","W",88.00,81.00,-7.00,88.00,89.45,1.45,69.00,63.10,-5.90,70.00,43.04,-26.96,83.00,51.67,-31.33,,,,,,,,,
"PUKO","2026-04-11","Sunderland AFC 3-4 Rangers FC","CM","MID","W",45.00,41.00,-4.00,8.00,0.00,-8.00,78.00,82.88,4.88,38.00,29.33,-8.67,47.00,35.90,-11.10,,,,,,,,,
"xendr","2026-04-10","Enigma 8-1 Zakrusa","CM","MID","L",37.00,43.00,6.00,0.00,0.00,0.00,41.00,94.10,53.10,77.00,42.67,-34.33,55.00,42.31,-12.69,,,,,,,,,
"MEZARCI","2026-07-28","Mythra FC 4-6 Sabertooth","RB","DEF","L",67.00,68.00,1.00,0.00,0.00,0.00,76.00,89.12,13.12,71.00,40.85,-30.15,78.00,52.21,-25.79,,,,,,,,,
"antuhan@bandit","2026-07-26","Shadow United 9-1 Santiago United","GK","GK","W",88.00,71.00,-17.00,,,,40.00,25.57,-14.43,85.00,38.26,-46.74,71.00,40.00,-31.00,85.00,89.13,4.13,75.00,37.50,-37.50,55.00,25.00,-30.00
"pico pico pico","2026-06-24","BC Kauno Žalgiris 2-12 Shadow United","GK","GK","W",84.00,70.00,-14.00,,,,55.00,37.74,-17.26,58.00,44.35,-13.65,75.00,46.50,-28.50,81.00,78.26,-2.74,81.00,50.00,-31.00,55.00,25.00,-30.00
"VoXE","2026-07-23","Hamburger SC 6-8 Costa Dorada FC","LB","DEF","L",56.00,63.00,7.00,0.00,0.00,0.00,64.00,83.00,19.00,50.00,34.04,-15.96,75.00,44.85,-30.15,,,,,,,,,
"iwannabespace","2026-07-06","Sevilla FC 10-3 Anadolu Storm","GK","GK","L",38.00,23.00,-15.00,,,,25.00,30.15,5.15,45.00,17.39,-27.61,68.00,33.00,-35.00,0.00,0.00,0.00,81.00,50.00,-31.00,55.00,25.00,-30.00
"eksande","2026-07-22","Santiago United 2-6 TarhanSpor","GK","GK","L",56.00,42.00,-14.00,,,,63.00,42.46,-20.54,84.00,45.22,-38.78,80.00,50.50,-29.50,40.00,34.78,-5.22,75.00,37.50,-37.50,63.00,50.00,-13.00
"zeyvv","2026-07-18","Beşiktaş JK 3-1 Mythra FC","CM","MID","W",84.00,76.00,-8.00,64.00,52.78,-11.22,90.00,96.25,6.25,83.00,63.28,-19.72,88.00,82.05,-5.95,,,,,,,,,
"osheto","2026-03-11","Sakaryaspor 0-9 Valhalla FC","GK","GK","W",100.00,100.00,0.00,,,,86.00,37.11,-48.89,85.00,79.13,-5.87,94.00,85.00,-9.00,100.00,100.00,0.00,75.00,37.50,-37.50,75.00,100.00,25.00
"Sloxy","2026-07-15","Shadow United 8-5 Hamburger SC","RB","DEF","L",62.00,65.00,3.00,0.00,0.00,0.00,69.00,84.61,15.61,65.00,37.45,-27.55,78.00,52.21,-25.79,,,,,,,,,
"jeck","2026-02-22","Regard FC 0-3 SSKK Kołobrzeg","CM","MID","W",96.00,100.00,4.00,95.00,125.00,30.00,89.00,92.34,3.34,85.00,86.67,1.67,94.00,126.28,32.28,,,,,,,,,
"Proxy","2026-07-15","RB Warszawa 9-1 Paris Saint-Germain","LB","DEF","W",51.00,49.00,-2.00,0.00,0.00,0.00,62.00,64.50,2.50,29.00,10.21,-18.79,23.00,11.76,-11.24,,,,,,,,,
"gog","2026-03-28","HD FC 0-2 SSKK Kołobrzeg","RW","FWD","L",27.00,13.00,-14.00,15.00,2.50,-12.50,63.00,63.10,0.10,50.00,21.72,-28.28,35.00,17.78,-17.22,,,,,,,,,
"noochi","2026-02-22","Sunderland AFC 3-0 Regard FC","GK","GK","W",92.00,79.00,-13.00,,,,0.00,12.86,12.86,58.00,20.87,-37.13,70.00,37.50,-32.50,100.00,100.00,0.00,81.00,50.00,-31.00,55.00,25.00,-30.00
"Void","2026-03-04","Enigma 4-3 Borazanspor","LB","DEF","L",74.00,79.00,5.00,16.00,6.67,-9.33,84.00,100.34,16.34,67.00,57.45,-9.55,84.00,58.82,-25.18,,,,,,,,,
"SleepyDomino","2026-02-19","Sakaryaspor 1-5 Jovel Union","CM","MID","W",69.00,71.00,2.00,37.00,47.22,10.22,79.00,87.38,8.38,80.00,68.62,-11.38,75.00,59.62,-15.38,,,,,,,,,
"Timucin","2026-02-22","Sakaryaspor 4-7 Borazanspor","RW","FWD","L",75.00,60.00,-15.00,79.00,66.79,-12.21,60.00,57.98,-2.02,67.00,43.44,-23.56,79.00,46.67,-32.33,,,,,,,,,
